class,mu,p10,p50,p90,n_days
DOM_INV,75.85289666666667,21.88925,53.92875,164.4574166666667,125
DOM_OTO,78.81448317307692,25.658708333333337,65.92104166666667,146.13304166666668,104
DOM_PRI,58.337918515232175,9.818500000000002,39.65416666666667,150.66204166666662,98
DOM_VER,68.53292096219931,29.24025,59.365833333333335,129.01533333333342,97
LAB_INV,88.87893887623386,37.243916666666664,62.4025,197.60991666666663,439
LAB_OTO,93.67846377627627,41.015125000000005,74.51416666666667,176.271,444
LAB_PRI,75.53961440058478,18.65145833333333,52.53333333333333,198.0525,456
LAB_VER,84.20492124542125,37.71216666666666,82.07791666666667,145.04366666666667,455
SAT_INV,78.53535511363636,27.868625,55.092083333333335,192.8019583333333,88
SAT_OTO,84.56732677902622,33.43716666666667,68.38833333333334,161.0109166666667,89
SAT_PRI,65.01388425925926,14.575916666666668,44.80208333333333,179.32312500000003,90
SAT_VER,75.85461503623188,31.841875,63.534166666666664,141.94833333333338,92
