Date,Hour,Price_EUR_MWh
2025-12-23,1,126.88565635979415
2025-12-23,2,114.92891457342886
2025-12-23,3,106.21009201015995
2025-12-23,4,101.09070438773975
2025-12-23,5,99.30770740153206
2025-12-23,6,105.78775983085873
2025-12-23,7,123.23569275599624
2025-12-23,8,148.12485868925592
2025-12-23,9,161.84098839918548
2025-12-23,10,161.2094734757284
2025-12-23,11,151.38409466185493
2025-12-23,12,142.51332968142322
2025-12-23,13,137.74411445090823
2025-12-23,14,134.78430142534015
2025-12-23,15,130.76779161342273
2025-12-23,16,130.24033005481093
2025-12-23,17,137.14153119356175
2025-12-23,18,153.28186453689005
2025-12-23,19,169.35336851185585
2025-12-23,20,181.98904057676157
2025-12-23,21,182.2250215893981
2025-12-23,22,169.42515439756312
2025-12-23,23,152.87139961805377
2025-12-23,24,137.20249335644243
